regulator	target	mor	likelihood
E2F1_UP.V1_UP	KLHL21	1	1
E2F1_UP.V1_UP	TLE4	1	1
E2F1_UP.V1_UP	LOC202152	1	1
E2F1_UP.V1_UP	NUP43	1	1
E2F1_UP.V1_UP	EZH2	1	1
E2F1_UP.V1_UP	SRSF4	1	1
E2F1_UP.V1_UP	DLX1	1	1
E2F1_UP.V1_UP	PPM1M	1	1
E2F1_UP.V1_UP	SLC20A1	1	1
E2F1_UP.V1_UP	KRT72	1	1
E2F1_UP.V1_UP	LMNB1	1	1
E2F1_UP.V1_UP	THOP1	1	1
E2F1_UP.V1_UP	ZSWIM7	1	1
E2F1_UP.V1_UP	GRWD1	1	1
E2F1_UP.V1_UP	HSPBP1	1	1
E2F1_UP.V1_UP	NAB1	1	1
E2F1_UP.V1_UP	CDK5R1	1	1
E2F1_UP.V1_UP	ACTN3	1	1
E2F1_UP.V1_UP	FNBP1	1	1
E2F1_UP.V1_UP	CYBA	1	1
E2F1_UP.V1_UP	PTPRU	1	1
E2F1_UP.V1_UP	PBX3	1	1
E2F1_UP.V1_UP	TPD52	1	1
E2F1_UP.V1_UP	ARHGEF1	1	1
E2F1_UP.V1_UP	MCM10	1	1
E2F1_UP.V1_UP	BRCA2	1	1
E2F1_UP.V1_UP	PRM1	1	1
E2F1_UP.V1_UP	DCTPP1	1	1
E2F1_UP.V1_UP	PACS1	1	1
E2F1_UP.V1_UP	RELL1	1	1
E2F1_UP.V1_UP	FAM60A	1	1
E2F1_UP.V1_UP	ELAVL1	1	1
E2F1_UP.V1_UP	INO80E	1	1
E2F1_UP.V1_UP	TINF2	1	1
E2F1_UP.V1_UP	MAP3K3	1	1
E2F1_UP.V1_UP	PRIM2	1	1
E2F1_UP.V1_UP	SIRPA	1	1
E2F1_UP.V1_UP	EIF6	1	1
E2F1_UP.V1_UP	RBM22	1	1
E2F1_UP.V1_UP	EVL	1	1
E2F1_UP.V1_UP	UBR2	1	1
E2F1_UP.V1_UP	KPNA3	1	1
E2F1_UP.V1_UP	MRPL46	1	1
E2F1_UP.V1_UP	NCAPH	1	1
E2F1_UP.V1_UP	ART3	1	1
E2F1_UP.V1_UP	PRADC1	1	1
E2F1_UP.V1_UP	WDHD1	1	1
E2F1_UP.V1_UP	E2F8	1	1
E2F1_UP.V1_UP	DDX46	1	1
E2F1_UP.V1_UP	TBP	1	1
E2F1_UP.V1_UP	CCDC164	1	1
E2F1_UP.V1_UP	TOP2A	1	1
E2F1_UP.V1_UP	SDCCAG3	1	1
E2F1_UP.V1_UP	ATP5D	1	1
E2F1_UP.V1_UP	TK1	1	1
E2F1_UP.V1_UP	HDGFRP2	1	1
E2F1_UP.V1_UP	NASP	1	1
E2F1_UP.V1_UP	RB1	1	1
E2F1_UP.V1_UP	GUF1	1	1
E2F1_UP.V1_UP	TAF6	1	1
E2F1_UP.V1_UP	VPRBP	1	1
E2F1_UP.V1_UP	ERMP1	1	1
E2F1_UP.V1_UP	SLC35E1	1	1
E2F1_UP.V1_UP	TYRO3	1	1
E2F1_UP.V1_UP	DNAJC2	1	1
E2F1_UP.V1_UP	KIF2A	1	1
E2F1_UP.V1_UP	NDUFAF4	1	1
E2F1_UP.V1_UP	CNIH2	1	1
E2F1_UP.V1_UP	WBP11	1	1
