regulator	target	mor	likelihood
HALLMARK_HYPOXIA	VEGFA	1	1
HALLMARK_HYPOXIA	BNIP3L	1	1
HALLMARK_HYPOXIA	TPI1	1	1
HALLMARK_HYPOXIA	ERO1L	1	1
HALLMARK_HYPOXIA	KDM3A	1	1
HALLMARK_HYPOXIA	CCNG2	1	1
HALLMARK_HYPOXIA	LDHA	1	1
HALLMARK_HYPOXIA	GYS1	1	1
HALLMARK_HYPOXIA	GAPDH	1	1
HALLMARK_HYPOXIA	BHLHE40	1	1
HALLMARK_HYPOXIA	ANGPTL4	1	1
HALLMARK_HYPOXIA	JUN	1	1
HALLMARK_HYPOXIA	SERPINE1	1	1
HALLMARK_HYPOXIA	LOX	1	1
HALLMARK_HYPOXIA	GCK	1	1
HALLMARK_HYPOXIA	PPFIA4	1	1
HALLMARK_HYPOXIA	MAFF	1	1
HALLMARK_HYPOXIA	DDIT4	1	1
HALLMARK_HYPOXIA	SLC2A3	1	1
HALLMARK_HYPOXIA	IGFBP3	1	1
HALLMARK_HYPOXIA	NFIL3	1	1
HALLMARK_HYPOXIA	FOS	1	1
HALLMARK_HYPOXIA	RBPJ	1	1
HALLMARK_HYPOXIA	HK1	1	1
HALLMARK_HYPOXIA	CITED2	1	1
HALLMARK_HYPOXIA	ISG20	1	1
HALLMARK_HYPOXIA	GALK1	1	1
HALLMARK_HYPOXIA	WSB1	1	1
HALLMARK_HYPOXIA	PYGM	1	1
HALLMARK_HYPOXIA	STC1	1	1
HALLMARK_HYPOXIA	ZNF292	1	1
HALLMARK_HYPOXIA	BTG1	1	1
HALLMARK_HYPOXIA	PLIN2	1	1
HALLMARK_HYPOXIA	CSRP2	1	1
HALLMARK_HYPOXIA	VLDLR	1	1
HALLMARK_HYPOXIA	JMJD6	1	1
HALLMARK_HYPOXIA	EXT1	1	1
HALLMARK_HYPOXIA	F3	1	1
HALLMARK_HYPOXIA	PDK3	1	1
HALLMARK_HYPOXIA	ANKZF1	1	1
HALLMARK_HYPOXIA	UGP2	1	1
HALLMARK_HYPOXIA	ALDOB	1	1
HALLMARK_HYPOXIA	STC2	1	1
HALLMARK_HYPOXIA	ERRFI1	1	1
HALLMARK_HYPOXIA	ENO3	1	1
HALLMARK_HYPOXIA	PNRC1	1	1
HALLMARK_HYPOXIA	HMOX1	1	1
HALLMARK_HYPOXIA	PGF	1	1
HALLMARK_HYPOXIA	GAPDHS	1	1
HALLMARK_HYPOXIA	CHST2	1	1
HALLMARK_HYPOXIA	TMEM45A	1	1
HALLMARK_HYPOXIA	BCAN	1	1
HALLMARK_HYPOXIA	ATF3	1	1
HALLMARK_HYPOXIA	CAV1	1	1
HALLMARK_HYPOXIA	AMPD3	1	1
HALLMARK_HYPOXIA	GPC3	1	1
HALLMARK_HYPOXIA	NDST1	1	1
HALLMARK_HYPOXIA	IRS2	1	1
HALLMARK_HYPOXIA	SAP30	1	1
HALLMARK_HYPOXIA	GAA	1	1
HALLMARK_HYPOXIA	SDC4	1	1
HALLMARK_HYPOXIA	STBD1	1	1
HALLMARK_HYPOXIA	IER3	1	1
HALLMARK_HYPOXIA	PKLR	1	1
HALLMARK_HYPOXIA	IGFBP1	1	1
HALLMARK_HYPOXIA	PLAUR	1	1
HALLMARK_HYPOXIA	PRKCDBP	1	1
HALLMARK_HYPOXIA	WISP2	1	1
HALLMARK_HYPOXIA	LARGE	1	1
HALLMARK_HYPOXIA	CCRN4L	1	1
HALLMARK_HYPOXIA	S100A4	1	1
HALLMARK_HYPOXIA	RRAGD	1	1
HALLMARK_HYPOXIA	ZFP36	1	1
HALLMARK_HYPOXIA	EGFR	1	1
HALLMARK_HYPOXIA	EDN2	1	1
HALLMARK_HYPOXIA	IDS	1	1
HALLMARK_HYPOXIA	CDKN1A	1	1
HALLMARK_HYPOXIA	RORA	1	1
HALLMARK_HYPOXIA	DUSP1	1	1
HALLMARK_HYPOXIA	MIF	1	1
HALLMARK_HYPOXIA	PPP1R3C	1	1
HALLMARK_HYPOXIA	DPYSL4	1	1
HALLMARK_HYPOXIA	KDELR3	1	1
HALLMARK_HYPOXIA	DTNA	1	1
